GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9C7W7	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	Q9C7W7	GO:0042546	cell wall biogenesis	P
UniProtKB	Q9C878	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9C8W9	GO:0045491	xylan metabolic process	P
UniProtKB	Q9C9J1	GO:0045492	xylan biosynthetic process	P
UniProtKB	Q9C9J1	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9C9Q8	GO:0010289	homogalacturonan biosynthetic process	P
UniProtKB	Q9C9X0	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	Q9C9Z9	GO:0010215	cellulose microfibril organization	P
UniProtKB	Q9C9Z9	GO:0009831	plant-type cell wall modification involved in multidimensional cell growth	P
UniProtKB	Q9CA71	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	Q9CA75	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	Q9CA75	GO:0010411	xyloglucan metabolic process	P
UniProtKB	Q9CAC1	GO:0042547	cell wall modification involved in multidimensional cell growth	P
UniProtKB	Q9CAX3	GO:0042545	cell wall modification	P
UniProtKB	Q9CAX3	GO:0042545	cell wall modification	P
UniProtKB	Q9CAX8	GO:0009664	plant-type cell wall organization	P
UniProtKB	Q9CAX8	GO:0009664	plant-type cell wall organization	P
UniProtKB	Q9FFD2	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	Q9FFD5	GO:0010215	cellulose microfibril organization	P
UniProtKB	Q9FFH6	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9FFN4	GO:0009827	plant-type cell wall modification	P
UniProtKB	Q9FFZ7	GO:0042545	cell wall modification	P
UniProtKB	Q9FFZ7	GO:0042545	cell wall modification	P
UniProtKB	Q9FG35	GO:0009827	plant-type cell wall modification	P
UniProtKB	Q9FGQ2	GO:0052543	callose deposition in cell wall	P
UniProtKB	Q9FGY1	GO:0045493	xylan catabolic process	P
UniProtKB	Q9FH36	GO:0010417	glucuronoxylan biosynthetic process	P
UniProtKB	Q9FH36	GO:0010413	glucuronoxylan metabolic process	P
UniProtKB	Q9FH36	GO:0045492	xylan biosynthetic process	P
UniProtKB	Q9FH36	GO:0071555	cell wall organization	P
UniProtKB	Q9FH82	GO:0071555	cell wall organization	P
UniProtKB	Q9FH90	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9FH90	GO:0010417	glucuronoxylan biosynthetic process	P
UniProtKB	Q9FH90	GO:0010417	glucuronoxylan biosynthetic process	P
UniProtKB	Q9FH92	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9FH92	GO:0045492	xylan biosynthetic process	P
UniProtKB	Q9FH92	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9FH92	GO:0045492	xylan biosynthetic process	P
UniProtKB	Q9FI79	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	Q9FIF9	GO:0042546	cell wall biogenesis	P
UniProtKB	Q9FJN8	GO:0042546	cell wall biogenesis	P
UniProtKB	Q9FJR5	GO:0071669	plant-type cell wall organization or biogenesis	P
UniProtKB	Q9FJW9	GO:0010406	classical arabinogalactan protein metabolic process	P
UniProtKB	Q9FJZ3	GO:0009828	plant-type cell wall loosening	P
UniProtKB	Q9FK68	GO:0042546	cell wall biogenesis	P
UniProtKB	Q9FKL8	GO:0010411	xyloglucan metabolic process	P
UniProtKB	Q9FKL9	GO:0010411	xyloglucan metabolic process	P
UniProtKB	Q9FL28	GO:0052544	defense response by callose deposition in cell wall	P
